"x","y","dates"
51.3553583,-22.5061883,2018-12-17
51.3525033,-22.5076083,2018-12-17
51.3496767,-22.5085883,2018-12-17
51.3471267,-22.5096383,2018-12-17
51.333925,-22.5133633,2018-12-17
51.30693,-22.5305567,2018-12-17
51.28384,-22.5509317,2018-12-17
51.2588817,-22.5692,2018-12-17
51.241245,-22.58639,2018-12-17
51.217395,-22.5994883,2018-12-17
51.1955967,-22.6009383,2018-12-17
51.1741017,-22.6078767,2018-12-17
51.1565183,-22.6249267,2018-12-17
51.1358067,-22.6431283,2018-12-17
51.11401,-22.6633583,2018-12-17
51.091815,-22.6812767,2018-12-17
51.0796083,-22.68818,2018-12-17
51.0769483,-22.6899,2018-12-17
51.074625,-22.6910983,2018-12-17
51.07201,-22.6918133,2018-12-17
51.0696933,-22.6927783,2018-12-17
51.0671667,-22.6937367,2018-12-17
51.0647133,-22.6948133,2018-12-17
51.0624983,-22.6973517,2018-12-17
51.0602067,-22.6986333,2018-12-17
51.0569083,-22.70162,2018-12-17
50.8291483,-22.7180233,2018-12-18
50.77686,-22.7064567,2018-12-18
50.759665,-22.710035,2018-12-18
50.69304,-22.7246383,2018-12-18
50.6866983,-22.7287467,2018-12-18
50.6776167,-22.73201,2018-12-18
50.672265,-22.7372283,2018-12-18
50.6616133,-22.7393883,2018-12-18
50.6565983,-22.7450567,2018-12-18
50.6479833,-22.7484467,2018-12-18
50.63924,-22.7538433,2018-12-18
50.6280767,-22.7613267,2018-12-18
50.6198133,-22.7640017,2018-12-18
50.61032,-22.77,2018-12-18
50.6052767,-22.7749083,2018-12-18
50.5980367,-22.7817783,2018-12-18
50.587005,-22.7870683,2018-12-18
50.5843567,-22.7895217,2018-12-18
50.5677133,-22.7953017,2018-12-18
50.5651817,-22.7971667,2018-12-18
50.5525,-22.7999133,2018-12-18
50.5473117,-22.8010317,2018-12-18
50.53958,-22.8063167,2018-12-18
50.535335,-22.808335,2018-12-18
50.5291217,-22.8064967,2018-12-18
50.52724,-22.8071933,2018-12-18
50.5251883,-22.8080217,2018-12-18
50.523375,-22.8094967,2018-12-18
50.522165,-22.8113,2018-12-18
50.5008267,-22.82387,2018-12-18
50.4557617,-22.845525,2018-12-18
50.42599,-22.84875,2018-12-18
50.4242183,-22.849085,2018-12-18
50.42225,-22.8494217,2018-12-18
50.4201433,-22.8495067,2018-12-18
50.4184067,-22.8499067,2018-12-18
50.41501,-22.8547,2018-12-18
50.4131567,-22.85518,2018-12-18
50.4112933,-22.8558867,2018-12-18
50.4094667,-22.8565867,2018-12-18
50.4027383,-22.84947,2018-12-18
50.4056867,-22.8528867,2018-12-18
50.4037,-22.85398,2018-12-18
50.4022017,-22.85467,2018-12-18
50.3756333,-22.869725,2018-12-18
50.3250867,-22.904685,2018-12-18
50.3119917,-22.9444533,2018-12-18
50.3147067,-22.9463033,2018-12-18
50.3143317,-22.9532983,2018-12-18
50.3102117,-22.9582483,2018-12-18
50.3055833,-22.9629133,2018-12-18
50.3052033,-22.9698567,2018-12-18
50.299895,-22.9708383,2018-12-18
50.2957,-22.975455,2018-12-18
50.29444,-22.9806983,2018-12-18
50.294,-22.9799683,2018-12-18
50.289055,-22.985815,2018-12-18
50.279695,-23.003235,2018-12-18
50.2428383,-23.0351233,2018-12-18
50.2308717,-23.01469,2018-12-18
50.218195,-23.02336,2018-12-18
50.2179467,-23.0236817,2018-12-18
50.2177667,-23.0254833,2018-12-18
50.216625,-23.0260967,2018-12-18
50.21535,-23.026115,2018-12-18
50.2139,-23.0269533,2018-12-18
50.2124233,-23.0272117,2018-12-18
50.2108083,-23.027905,2018-12-18
50.2094217,-23.028535,2018-12-18
50.20803,-23.02824,2018-12-18
50.204305,-23.03444,2018-12-18
50.198175,-23.0429917,2018-12-18
50.1956033,-23.044635,2018-12-18
50.1936433,-23.044425,2018-12-18
50.190585,-23.04653,2018-12-18
50.1883567,-23.04735,2018-12-18
50.1858983,-23.0488383,2018-12-18
50.1829117,-23.049435,2018-12-18
50.181405,-23.050095,2018-12-18
50.1773833,-23.05293,2018-12-18
50.1515217,-23.0967117,2018-12-18
50.0467533,-23.2766117,2018-12-18
50.0241917,-23.3218217,2018-12-18
49.7873183,-23.4774833,2018-12-19
49.73628,-23.505835,2018-12-19
49.6759167,-23.4884183,2018-12-19
49.6118183,-23.47658,2018-12-19
49.56249,-23.50564,2018-12-19
49.54241,-23.55128,2018-12-19
49.5155917,-23.60123,2018-12-19
49.516255,-23.6409867,2018-12-19
49.5166733,-23.6426483,2018-12-19
49.5270817,-23.6504367,2018-12-19
49.5264,-23.6480667,2018-12-19
49.5239633,-23.6483817,2018-12-19
49.53429,-23.63987,2018-12-19
49.5340417,-23.6434617,2018-12-19
49.554405,-23.679115,2018-12-19
49.5588567,-23.6837967,2018-12-19
49.5757233,-23.68828,2018-12-19
49.5751417,-23.6779383,2018-12-19
49.601815,-23.6957417,2018-12-19
49.6079633,-23.6811933,2018-12-19
49.592515,-23.64441,2018-12-19
49.589135,-23.6242083,2018-12-19
49.5835117,-23.5906867,2018-12-19
49.583905,-23.594235,2018-12-19
49.5878217,-23.6025733,2018-12-19
49.5872417,-23.6093133,2018-12-19
49.59078,-23.6129367,2018-12-19
49.5968583,-23.6214283,2018-12-19
49.5969167,-23.62319,2018-12-19
49.6000483,-23.6333733,2018-12-19
49.599645,-23.63515,2018-12-19
49.599855,-23.6362033,2018-12-19
49.5999767,-23.638035,2018-12-19
49.5999583,-23.6390517,2018-12-19
49.5996467,-23.6389367,2018-12-19
49.5994283,-23.64153,2018-12-19
49.599595,-23.64287,2018-12-19
49.5998683,-23.6442583,2018-12-19
49.5918033,-23.6455717,2018-12-19
49.5896433,-23.6471383,2018-12-19
49.5884883,-23.6611517,2018-12-19
49.587995,-23.6623167,2018-12-19
49.5872067,-23.6643933,2018-12-19
49.5869533,-23.665735,2018-12-19
49.58661,-23.6673333,2018-12-19
49.586005,-23.66941,2018-12-19
49.5852733,-23.6712133,2018-12-19
49.583815,-23.6730433,2018-12-19
